Comment,RefDes,Pattern,JLCPCB
1 CAP_0402_7pF Murata Electronics 7pF,"C1, C2",CAP_0402_N,C307438
2 CAP_0805_M  8pf,"C3, C4, C7",CAP_0805_M,
3 CAP_0603_N  0.1u,C5,CAP_0603_N,C694145
4 CAP_0603_M  1u,"C6, C8, C9",CAP_0603_M,C15849
5 YellowLED  Yellow LED,"D1, D2, D3, D4, D5, D6, D7, D8",DIO_0603_L,C72038
6 PJ-320(OS) HOOYA ,J1,PJ-320,C2939180
7 TYPE-C-31-M-12 Korean Hroparts Elec ,"J2, J3",C165948,C165948
8 PPTC041LFBN-RC Sullins ,"J4, J8",RHDRV4W80P254_4X1_1066X250H875_AP1,
9 A2541HWV-2P CJT(Changjiang Connectors) ,J5,RHDRV2W80P254_2X1_558X250H875_AP1,C225499
10 PPTC061LFBN-RC Sullins ,"J6, J7",RHDRV6W80P254_6X1_1574X250H875_AP1,
11 RES_0402_N  5K1,"R1, R2, R3, R4, R15, R25, R26, R27, R28",RES_0402_N,C400635
12 RES_0805_M  300,"R5, R6, R7, R8, R9, R10, R11, R12",RES_0805_M,C352224
13 RES_0402_27.4  27.4,"R13, R14",RES_0402_M,C31439
14 RES_0805_N  56k,"R16, R17, R18, R19, R20, R21, R22, R31, R32, R33, R34, R35, R36",RES_0805_N,C2828780
15 RES_0402_1K  1K,"R23, R24",RES_0402_N,C11702
16 RES_0603_M  0,"R29, R30",RES_0603_M,C21189
17 TS-1088-AR02016  ,"S1, S2, S3, S4",C720477,C720477
18 GT-TF003-H0185-01 G-Switch ,U1,GT-TF003-H0185-01,C5155563
19 W25Q128JVSIQ Winbond Elec 128Mbit,"U2, U7",SOIC8P127_528X790X216L65X41N,C97521
20 MAX40200AUK+T Analog Devices PD Switch,"U3, U4",SOT23-5P65_210X100L36X22M,C2649430
21 2x20 Header  ,U5,HEADER40,C19192096
22 RP2040 Raspberry Pi  ,U6,RP2040,C2040
23 F1C200S  ,U8,QFN89P40_1000X1000X90L40X20T674M,
24 TLV73311PDQNR Texas Instruments 1.11V,U9,X2SON,C2863780
25 ADP323 Analog Devices ,U10,QFN17P50_300X300X80L40X24T160N,C143893
26 RPI_HEADER  ,U11,HEADER40,C19192096
27 7M12000039 TXC Corp 12Mhz,Y1,7M12000039,C90900
28 X322524MMB4SI Yangxing Tech 24MHZ 7PF,Y2,X322524MMB4SI,C70583
