Designator,Mid X (mm),Mid Y (mm),Layer,Rotation
C1,80.5,54,Top,270
C2,78,52,Top,0
C3,38.5,34,Top,270
C4,43.5,34,Top,90
C5,30,26,Top,90
C6,27,25,Top,270
C7,24,21,Top,90
C8,24,15,Top,270
C9,32,14,Top,270
D1,15,75,Top,90
D2,17,75,Top,90
D3,19,75,Top,90
D4,21,75,Top,90
D5,93,75,Top,90
D6,95,75,Top,90
D7,97,75,Top,90
D8,99,75,Top,90
J1,29,76.35,Top,270
J2,40.853,78.56,Top,180
J3,78.853,78.56,Top,180
J4,12,59.19,Top,270
J5,87,55.27,Top,90
J6,12,43.65,Top,270
J7,12,24.65,Top,270
J8,32.19,51,Bottom,180
R1,77,72.5,Top,0
R2,81,72.5,Top,180
R3,38,72,Top,0
R4,43,72,Top,180
R5,15,69,Top,270
R6,17,69,Top,270
R7,19,69,Top,270
R8,21,69,Top,270
R9,93,69,Top,270
R10,95,69,Top,270
R11,97,69,Top,270
R12,99,69,Top,270
R13,80,65,Top,270
R14,81,65,Top,270
R15,73.5,62,Top,0
R16,55,60,Top,270
R17,57,60,Top,270
R18,59,60,Top,270
R19,61,60,Top,270
R20,63,60,Top,270
R21,65,60,Top,270
R22,67,60,Top,270
R23,81.5,54,Top,90
R24,82,50,Top,270
R25,40,44,Top,0
R26,23,26,Top,0
R27,46,24.5,Top,90
R28,47,24.5,Top,270
R29,32,17,Top,270
R30,35,17,Top,270
R31,26,17,Top,90
R32,28,17,Top,90
R33,30,17,Top,90
R34,26,14,Top,90
R35,28,14,Top,90
R36,30,14,Top,90
S1,71,62,Top,270
S2,86,50,Top,180
S3,40,41,Top,180
S4,24,30,Top,0
U1,58.512,74.197,Top,180
U2,74,68,Top,270
U3,44,68,Top,180
U4,83,68,Top,180
U5,101,40.5,Top,90
U6,79,60,Top,0
U7,33,37,Top,180
U8,39,25,Top,0
U9,32.5,26,Top,180
U10,29,21,Top,180
U11,68,13.5,Top,180
Y1,78,54,Top,180
Y2,41,34,Top,90
