"Designator","Mid X (mm)","Mid Y (mm)","Layer","Rotation"
"C1","65","44","Top","180.0"
"C2","68.5","42","Top","270.0"
"C3","49","48.5","Top","270.0"
"C4","53","48.5","Top","90.0"
"C5","63","30","Top","270.0"
"C6","70","32","Top","0.0"
"C7","65","30","Top","270.0"
"C8","70","34","Top","0.0"
"C9","70","36","Top","0.0"
"C13","51","32","Top","270.0"
"C14","45","32","Top","270.0"
"C15","44","32","Top","270.0"
"C16","39","39","Top","180.0"
"C17","55","37.7","Top","0.0"
"C18","55","38.6","Top","0.0"
"C19","55","39.6","Top","0.0"
"C20","55","40.5","Top","0.0"
"C21","55","42.4","Top","0.0"
"C22","65.8","57","Top","90.0"
"C23","64.9","57","Top","90.0"
"C24","59","53","Top","180.0"
"C25","59","49","Top","180.0"
"C26","72","49","Top","0.0"
"C27","69.5","42","Top","270.0"
"C28","69.5","56","Top","90.0"
"C29","70.4","56","Top","90.0"
"C30","72","53","Top","0.0"
"C31","64","57","Top","90.0"
"C32","72","42","Top","270.0"
"C33","68.5","56","Top","90.0"
"C34","70.5","42","Top","270.0"
"C35","29","30","Top","90.0"
"C36","13.9","63.2","Top","270.0"
"C37","24.6","36","Top","180.0"
"C38","28","43.2","Top","0.0"
"C39","28","34.8","Top","0.0"
"C40","21","36","Top","180.0"
"C41","55","41.5","Top","0.0"
"C42","52","32","Top","270.0"
"C43","39","40.5","Top","180.0"
"C44","39","42.5","Top","180.0"
"C45","60.5","34.6","Top","180.0"
"C46","60.5","32","Top","180.0"
"C47","60.5","37","Top","180.0"
"C10_1","82.8","55","Top","0.0"
"C10_2","20.4","68.3","Top","90.0"
"C11_1","82.8","56.5","Top","0.0"
"C11_2","19","68.3","Top","90.0"
"C12_1","77","70","Top","0.0"
"C12_2","33","62","Top","0.0"
"D1","5.5","69","Top","270.0"
"D2","7","69","Top","270.0"
"D3","8.5","69","Top","270.0"
"D4","10","69","Top","270.0"
"D5","82.5","69","Top","270.0"
"D6","84","69","Top","270.0"
"D7","85.5","69","Top","270.0"
"D8","87","69","Top","270.0"
"J1","4.65","55","Top","0.0"
"J5","75","40.73","Top","270.0"
"J7","0.5","41.65","Top","270.0"
"J9_1","67.953","68.06","Top","180.0"
"J9_2","29.853","68.06","Top","180.0"
"L2","31","39","Top","270.0"
"Q1_1","88","60","Top","0.0"
"Q1_2","33","58","Top","0.0"
"Q2_1","88","56","Top","180.0"
"Q2_2","33","54","Top","180.0"
"Q3_1","77","66.5","Top","0.0"
"Q3_2","27","58","Top","0.0"
"Q4_1","77","62","Top","180.0"
"Q4_2","27","54","Top","180.0"
"R1","70.1","30.5","Top","0.0"
"R2","20","41","Top","90.0"
"R3","31","50","Top","270.0"
"R5","5.5","65","Top","270.0"
"R6","7.5","65","Top","270.0"
"R7","9.5","65","Top","270.0"
"R8","11.5","65","Top","270.0"
"R9","81","65","Top","270.0"
"R10","83","65","Top","270.0"
"R11","85","65","Top","270.0"
"R12","87","65","Top","270.0"
"R13","66.7","56","Top","270.0"
"R14","67.6","56","Top","270.0"
"R15","3","25","Top","0.0"
"R16","53.941","54","Top","270.0"
"R17","51.941","54","Top","270.0"
"R18","49.941","54","Top","270.0"
"R19","47.941","54","Top","270.0"
"R20","45.941","54","Top","270.0"
"R21","43.941","54","Top","270.0"
"R22","41.941","54","Top","270.0"
"R23","67","44","Top","180.0"
"R24","3","19","Top","180.0"
"R25","3","13","Top","0.0"
"R26","3","7","Top","0.0"
"R27","57","39","Top","90.0"
"R28","57","41","Top","90.0"
"R29","28","33.2","Top","180.0"
"R30","42.5","32","Top","270.0"
"R31","26","45","Top","0.0"
"R32","73","33","Top","270.0"
"R33","70","37.5","Top","0.0"
"R34","67.8","30","Top","90.0"
"R35","73","36","Top","270.0"
"R36","67","38.5","Top","270.0"
"R37","87","53","Top","180.0"
"R40","22","45","Top","0.0"
"R47","23","34","Top","180.0"
"R38_1","85","57","Top","270.0"
"R38_2","36","56","Top","270.0"
"R39_1","81","60.5","Top","180.0"
"R39_2","24","56","Top","270.0"
"R41_1","82.8","53","Top","0.0"
"R41_2","22","68","Top","90.0"
"R42_1","73.6","56.7","Top","90.0"
"R42_2","20.5","59","Top","270.0"
"R43_1","72","56.7","Top","90.0"
"R43_2","18.5","59","Top","270.0"
"R44_1","82.8","52","Top","0.0"
"R44_2","23","68","Top","90.0"
"R4_1","72.5","60","Top","270.0"
"R4_2","15.5","60.5","Top","0.0"
"S1","3","28","Top","180.0"
"S2","3","22","Top","180.0"
"S3","3","16","Top","180.0"
"S4","3","10","Top","0.0"
"U1","46.512","64.297","Top","180.0"
"U2","60.6","59.7","Top","180.0"
"U3","15","31","Top","180.0"
"U5","51.5","13.3","Top","0.0"
"U6","66","50","Top","0.0"
"U7","38","49","Top","270.0"
"U8","47","40","Top","0.0"
"U10","65","35","Top","180.0"
"U11","23.5","40","Top","270.0"
"U14_1","78","55","Top","0.0"
"U14_2","20","64","Top","90.0"
"Y1","66","42","Top","0.0"
"Y2","51","48.3","Top","90.0"
